SECURITY,NEW,PREVIOUS,NEW_STATUS
BIRLASLAMC - ABSLFTSGRN,10.8,10.7,H
2.50%GOLDBONDS2028SR-I,4689.98,4650,H
2.75% GOLDBONDS 2023 TR-1,4800,4788.9,H
2.75%GOLDBONDS2024 TR-II,4740,4725,H
GOI LOAN 7.27% 2026,105.84,100.8,H
BARTRONICS INDIA LIMITED,1.6,1.55,H
ALOK INDUSTRIES LIMITED,13.3,12.7,H
AVENUE SUPERMARTS LIMITED,2454.35,2392.65,H
2.50% GOLDBONDS2025SR-VI,4650,4625.01,H
2.50%GOLDBONDS2027SR-IV,4697,4655,H
8.91% TAX FREE NCD,1414.8,1405.9,H
BOHRA INDUSTRIES LIMITED,1.45,1.4,H
2.50% GOLDBONDS2025SR-VII,4679.99,4650,H
NATIONAL STEEL & AGRO IND,2.25,2.2,H
2.50%GOLDBONDS2026SR-III,4647.99,4634,H
ABAN OFFSHORE LTD.,16.8,17.25,L
ARCHIES LTD,10.2,10.5,L
ARVIND FASHIONS LIMITED,110,120,L
B.L.KASHYAP & SON LTD,4.25,4.4,L
SEC RED NCD 9.25% SR. VI,587.01,650,L
GILLANDERS ARBUTHNOT LTD,18,18.05,L
PRIME FOCUS LIMITED,20.1,20.6,L
QUESS CORP LIMITED,165,165.65,L
RELIANCE INFRASTRUCTU LTD,16.55,16.75,L
SEC RED NCD 9.00% SR. VII,665,670,L
GTN TEXTILES LIMITED,4.75,4.9,L
HUBTOWN LIMITED,8.85,9,L
INDIABULLS INTEGR SER LTD,33.55,34.3,L
IL&FS TRANS NET LTD,0.9,0.95,L
PRAXIS HOME RETAIL LTD,19.35,20.35,L
PRICOL LIMITED,37,37.3,L
REL CAPITAL - DEPO. SETT.,6.5,6.75,L
SUMIT WOODS LIMITED,10.1,10.6,L
VIVIMED LABS LIMITED,9.8,10.1,L
WINDSOR MACHINES LIMITED,10.9,11,L
CHALET HOTELS LIMITED,101.5,102,L
CHOLAMANDALAM FIN HOL LTD,227.15,231.05,L
FLEXITUFF VENTURES INT L,3.8,4,L
JAYSREETEA - DEPO SETT,33.8,34.15,L
MADHUCON PROJECTS LTD.,1.75,1.8,L
MUKAND ENGINEERS LIMITED,6.65,6.7,L
PUNJAB NATIONAL BANK,26.3,26.5,L
NIPP IN ETF PSU BANK BEES,9.88,12.05,L
REPCO HOME FINANCE LTD,98.05,101.2,L
ROLLATAINERS LIMITED,1.2,1.25,L
MAGNUM VENTURES LTD.,2.55,2.6,L
MSP STEEL & POWER LTD.,3.65,3.8,L
TRANSWARRANTY FIN. LTD.,2.35,2.4,L
THE MANDHANA RET VENT LTD,6.35,6.6,L
ASIAN HOTELS (WEST) LTD,215.7,222,L
ANSAL PROP & INFRA LTD,5,5.1,L
ARIHANT SUPERSTRUCT LTD,15.75,16.2,L
ARSHIYA LIMITED,9.75,10.25,L
ARSS INFRA PROJ. LTD,10.65,10.8,L
BOMBAY RAYON FASHIONS LTD,3.55,3.6,L
CYIENT LIMITED,187,191.25,L
HT MEDIA LIMITED,10.1,10.5,L
S.E. POWER LIMITED,2.95,3.1,L
IMAGICAAWORLD ENT LTD,3.15,3.2,L
LEMON TREE HOTELS LTD,14.4,15.15,L
MEP INFRA. DEVELOPERS LTD,15.7,16.05,L
POKARNA LIMITED,93.8,98.45,L
SADBHAV ENGINEERING LTD,43.8,46.1,L
S S INFRA DEVP CONSL LTD,8.05,8.45,L
WONDERLA HOLIDAYS LTD.,105,105.05,L
BRIGHT SOLAR LIMITED,5.15,5.4,L
SEC RED NCD 10.04% SR.III,900,910,L
VERTOZ ADVERTISING LTD,72.2,73.05,L
63 MOONS TECHNOLOGIES LTD,51.9,52,L
DANGEE DUMS LIMITED,83,91,L
FOURTH DIMEN. SOLUT. LTD,5.55,5.8,L
PRINCE PIPES FITTINGS LTD,77.9,79,L
SATIN CREDIT NET LTD,45.15,46.6,L
S CHAND AND COMPANY LTD,44.2,45.55,L
TEJAS NETWORKS LIMITED,28.9,30.15,L

