SECURITY,PREV_CL_PR,CLOSE_PRIC,NET_TRDQTY,NET_TRDVAL
RELIANCE INDUSTRIES LTD,      1408.90,      1433.70,25530692,              36419940581.50
BAJAJ FINANCE LIMITED,      1964.95,      2042.80,16318576,              32536864183.60
BHARTI AIRTEL LIMITED,       598.80,       594.05,35744408,              21381025536.50
HDFC BANK LTD,       830.65,       857.10,20007413,              16894738592.95
DR. REDDY'S LABORATORIES,      3699.60,      3910.20,4216736,              16056134189.20
ICICI BANK LTD.,       300.30,       305.65,42239472,              12796973329.15
AXIS BANK LIMITED,       354.50,       362.50,30722038,              10989712101.35
HDFC LTD,      1539.85,      1627.00,6847043,              10872414709.35
INDUSIND BANK LIMITED,       367.80,       357.30,29736474,              10635772798.80
STATE BANK OF INDIA,       152.80,       153.40,66178068,              10124624876.60
CIPLA LTD,       594.95,       620.65,13441070,               8228127113.25
HINDUSTAN UNILEVER LTD.,      1975.55,      1990.85,3927076,               7828736279.65
MARUTI SUZUKI INDIA LTD.,      4805.30,      4891.95,1518297,               7336294666.25
KOTAK MAHINDRA BANK LTD,      1130.45,      1160.10,5254389,               6051010285.20
AUROBINDO PHARMA LTD,       662.40,       707.60,8783424,               6047898077.20
UPL LIMITED,       339.65,       356.55,16718318,               5912382565.40
HERO MOTOCORP LIMITED,      2073.50,      2023.60,2782633,               5616256430.85
TATA CONSULTANCY SERV LT,      1948.65,      1953.60,2778505,               5409514559.25
PVR LIMITED,       804.45,       855.65,6574026,               5380303337.35
RELIANCE INDUSTRIES RE,       151.90,       202.15,29176048,               5371232927.35
LARSEN & TOUBRO LTD.,       796.35,       835.00,5950015,               4904994064.65
BHARTI INFRATEL LTD.,       218.75,       200.85,22326973,               4543543494.35
ITC LTD,       170.75,       175.75,25320952,               4437243049.85
MAHINDRA & MAHINDRA LTD,       382.90,       405.05,10608571,               4228545729.25
TATA STEEL LIMITED,       272.00,       283.20,14423657,               4037917086.25

